Altitude (ft),Vertical velocity (m/s)
0.01,0.01
0.007,0.213
0.016,0.473
0.039,0.835
0.072,1.299
0.125,1.866
0.197,2.535
0.292,3.306
0.413,4.18
0.564,5.099
0.748,6.008
0.958,6.905
1.198,7.791
1.467,8.665
1.765,9.528
2.09,10.38
2.444,11.221
2.825,12.05
3.232,12.868
3.665,13.678
4.124,14.484
4.61,15.284
5.125,16.08
5.663,16.871
6.227,17.657
6.818,18.439
7.431,19.216
8.071,19.988
8.737,20.755
9.429,21.52
10.144,22.284
10.886,23.048
11.65,23.812
12.441,24.575
13.258,25.338
14.098,26.101
14.964,26.864
16.309,28.007
18.432,29.725
21.854,32.327
27.454,36.237
33.698,40.19
40.591,44.162
48.13,48.15
56.322,52.156
65.167,56.179
74.672,60.219
84.833,64.274
95.656,68.345
107.139,72.431
119.285,76.531
132.093,80.612
145.558,84.643
159.665,88.625
174.409,92.557
189.78,96.44
205.771,100.275
222.372,104.064
239.577,107.805
257.379,111.499
275.771,115.144
294.751,118.759
314.311,122.36
334.452,125.946
355.174,129.517
376.473,133.072
398.346,136.611
420.791,140.134
443.799,143.64
467.369,147.127
491.499,150.597
516.181,154.042
541.414,157.457
567.192,160.842
593.51,164.196
620.367,167.519
647.759,170.809
675.679,174.067
704.121,177.291
733.081,180.481
762.546,183.636
792.513,186.748
822.976,189.812
853.921,192.827
885.348,195.793
917.244,198.71
949.61,201.577
982.431,204.393
1015.699,207.159
1049.409,209.872
1083.547,212.533
1110.748,214.601
1143.825,217.07
1179.104,219.647
1214.793,222.197
1250.892,224.72
1287.392,227.189
1324.278,229.546
1361.532,231.787
1397.917,233.845
1435.837,235.86
1474.068,237.756
1512.592,239.515
1551.388,241.137
1590.43,242.622
1629.698,243.969
1669.173,245.212
1708.839,246.432
1748.698,247.618
1788.74,248.771
1828.967,249.889
1869.364,250.943
1909.918,251.856
1950.6,252.626
1991.394,253.253
2032.274,253.739
2073.219,254.102
2114.213,254.397
2155.249,254.624
2196.312,254.785
2237.395,254.88
2278.481,254.917
2319.57,254.92
2360.653,254.89
2401.726,254.827
2442.785,254.731
2483.819,254.596
2524.826,254.408
2565.797,254.166
2606.719,253.871
2647.589,253.523
2688.392,253.124
2729.127,252.675
2769.783,252.178
2810.351,251.633
2850.823,251.04
2891.194,250.399
