Mach,CD
0.01,0.294787457
0.02,0.341587127
0.03,0.352445155
0.04,0.35526284
0.05,0.355467724
0.06,0.354664433
0.07,0.353449301
0.08,0.352075661
0.09,0.350660034
0.1,0.350086272
0.11,0.350059475
0.12,0.350032688
0.13,0.350005912
0.14,0.349979146
0.15,0.349952393
0.16,0.34992565
0.17,0.349898919
0.18,0.3498722
0.19,0.349845493
0.2,0.349818798
0.21,0.349792115
0.22,0.349765444
0.23,0.349738786
0.24,0.349712141
0.25,0.349685508
0.26,0.349770032
0.27,0.349854588
0.28,0.349939158
0.29,0.350024
0.3,0.350108318
0.31,0.350192928
0.32,0.350277553
0.33,0.350362171
0.34,0.350446824
0.35,0.350531491
0.36,0.350616172
0.37,0.350700868
0.38,0.350785559
0.39,0.350870284
0.4,0.350955024
0.41,0.351039779
0.42,0.35112453
0.43,0.351209316
0.44,0.351294117
0.45,0.351378913
0.46,0.351463745
0.47,0.351548593
0.48,0.351633457
0.49,0.351718317
0.5,0.351803213
0.51,0.351888125
0.52,0.351973053
0.53,0.352057977
0.54,0.352142938
0.55,0.352227916
0.56,0.35231291
0.57,0.352397901
0.58,0.352482929
0.59,0.352393574
0.6,0.352304216
0.61,0.352416028
0.62,0.352520667
0.63,0.352625283
0.64,0.352729937
0.65,0.352834608
0.66,0.352939296
0.67,0.353043982
0.68,0.353148706
0.69,0.353253448
0.7,0.353358207
0.71,0.353462985
0.72,0.35356776
0.73,0.353672574
0.74,0.353777405
0.75,0.353882255
0.76,0.353987123
0.77,0.35409201
0.78,0.354196915
0.79,0.354301819
0.8,0.354406761
0.81,0.354511721
0.82,0.354616701
0.83,0.354721699
0.84,0.354826696
0.85,0.354931732
0.86,0.355036787
0.87,0.35514186
0.88,0.355246953
0.89,0.355352045
0.9,0.355457176
0.91,0.372122095
0.92,0.379662114
0.93,0.398753052
0.94,0.4256249
0.95,0.452496748
0.96,0.479368596
0.97,0.506240444
0.98,0.533112292
0.99,0.55998414
1,0.586855988
1.01,0.613727836
1.02,0.640599684
1.03,0.667471532
1.04,0.69434338
1.05,0.696557885
1.06,0.695299567
1.07,0.694057337
1.08,0.692830882
1.09,0.691619686
1.1,0.69042353
1.11,0.689241996
1.12,0.688074764
1.13,0.686921511
1.14,0.685781916
1.15,0.684655553
1.16,0.682650698
1.17,0.680629725
1.18,0.678624906
1.19,0.67647526
1.2,0.673854298
1.21,0.67121753
1.22,0.668601059
1.23,0.666004724
1.24,0.663428264
1.25,0.660871319
1.26,0.583335274
1.27,0.655814827
1.28,0.653314954
1.29,0.650833647
1.3,0.648370542
1.31,0.645925474
1.32,0.643499076
1.33,0.641097048
1.34,0.638717
1.35,0.636356618
1.36,0.634016099
1.37,0.63169475
1.38,0.629392118
1.39,0.627108
1.4,0.62484183
1.41,0.622593462
1.42,0.620362665
1.43,0.618149224
1.44,0.615952928
1.45,0.613773377
1.46,0.611610575
1.47,0.609464131
1.48,0.607334058
1.49,0.605219971
1.5,0.60312169
